"","lat","lon"
"1",43.1514,-79.3928
"3",49.3167,-67.6
"7",49.5,-63
"9",49.266667,-61.85
"10",45.501689,-73.567256
"11",45.5,-73.5833
"13",45.5017,-73.5673
"43",44.9364,-72.2051
"44",45.0392,-72.8399
"48",45.039226,-72.8399
"55",45.05,-72.8
"57",46.8139,-71.208
"60",47.9164,-69.501
"64",45.564,-73.179
"72",45.564042,-73.179013
"76",46.813878,-71.207981
"77",47.916426,-69.50104
"87",47.9167,-69.5
"107",45.7754,-74.0049
"115",45.775357,-74.004948
"120",45.7833,-74
"121",45.23073,-73.76648
"122",52.939916,-73.549136
"123",45.4413,-73.6886
"125",45.6521,-74.3398
"126",45.5369,-73.5107
"136",45.652059,-74.339802
"139",45.441347,-73.688585
"145",45.65,-74.3333
"146",45.4333,-73.6833
"156",45.0333,-73.0833
"157",45.5333,-73.5
"161",38.2557,-81.4279
"162",38.2076,-81.4593
"164",46.5219,-84.3461
"169",45.6519,-74.9409
"171",45.651949,-74.940872
"177",45.65,-74.9333
"182",47.5615,-52.7126
"184",27.6948,-80.5438
"190",45.6041,-74.1916
"192",45.604056,-74.191577
"193",45.5,-73.583333
"195",51.5428,-102.5319
"196",64.8255,-124.8457
"197",35.6539,-105.2917
"198",50.7681,-103.783
"199",52.8699,-106.53
"201",52.6736,-106.111
"202",51.5809,-101.9542
"203",42.3304,-71.1662
"204",52.202,-105.1229
"212",45.4333,-75.9
"218",42.2565,-71.1241
"220",62.5667,-70.6
"222",47.02769,-71.13627
"227",48.617,-68.0254
"231",62.4022,-77.9171
"237",62.402186,-77.917118
"242",48.617012,-68.025403
"249",48.6167,-68.0167
"257",63.1167,-77.9333
"260",54.00723,-69.54754
"261",45.2096,-72.7275
"262",45.5312,-73.5978
"263",47.6627,-70.1103
"264",51.95,-79.2833
"266",45.209583,-72.727542
"267",47.662662,-70.110268
"268",45.531199,-73.597759
"269",47.6667,-70.1167
"270",45.2,-72.7167
"272",47.0645,-79.7909
"273",46.1842,-82.3123
"275",48.8316,-64.4869
"278",45.5679,-73.2039
"280",45.567925,-73.203947
"286",48.8333,-64.5
"289",48.831635,-64.486902
"290",41.9299,-86.0122
"291",46.5236,-81.3988
"292",49.0157,-88.2683
"295",48.3809,-89.2477
"296",42.6792,-70.8412
"298",46.5107,-63.4168
"299",44.2706,-71.3033
"300",46.3187,-74.2219
"302",46.318671,-74.221877
"305",45.5,-73.6
"310",48.0922,-71.5276
"311",45.0391,-73.0746
"315",45.4963,-73.6226
"316",48.092178,-71.527557
"318",45.03915,-73.074646
"322",45.5667,-73.2
"324",45.4833,-73.6167
"326",48.6667,-67.9667
"330",45.496253,-73.622563
"335",39.3456,-91.3449
"337",49.8485,-99.9501
"338",50.4452,-104.6189
"351",44.3236,-96.9264
"356",48.3501,-89.3501
"361",49.4159,-91.6587
"362",46.7051,-81.5558
"366",45.4042,-74.038
"371",45.648,-74.6456
"376",45.6092,-73.7778
"386",45.404236,-74.03796
"388",45.648019,-74.645628
"404",45.65,-74.65
"414",45.609184,-73.777752
"416",42.3736,-71.1097
"426",45.8833,-74.4667
"431",46.7876,-71.2528
"442",46.787562,-71.252798
"457",45.6397,-73.8439
"458",47.657,-70.1522
"460",46.2494,-74.7616
"461",45.5699,-72.0068
"469",45.639718,-73.84391
"474",46.249449,-74.761552
"475",47.656968,-70.152187
"476",45.569907,-72.006782
"480",45.1333,-72.25
"482",47.5667,-69.8667
"485",45.5667,-72
"488",45.6333,-73.85
"490",46.2833,-74.7333
"501",45.5167,-75.7833
"502",30.3322,-81.6557
"503",34.0484,-107.1853
"504",42.3149,-83.0364
"510",45.5126,-73.6468
"514",45.512582,-73.646831
"525",51.0486,-114.0708
"534",25.7617,-80.1918
"551",48.6283,-68.1227
"552",45.9521,-74.136
"553",45.6764,-74.4045
"554",52.9113,-73.4838
"561",48.439,-68.535
"568",46.6695,-71.0525
"570",41.389,-70.5134
"573",45.5035,-73.5871
"590",48.6666,-68.0154
"592",45.4994,-73.5758
"595",45.952109,-74.136029
"596",45.499358,-73.575776
"598",48.43898,-68.53497
"600",48.666551,-68.015352
"601",46.669494,-71.052529
"602",45.676447,-74.404499
"606",45.503524,-73.587069
