"","lat"
"1",43.1514
"3",49.3167
"7",49.5
"9",49.266667
"10",45.501689
"11",45.5
"13",45.5017
"43",44.9364
"44",45.0392
"48",45.039226
"55",45.05
"57",46.8139
"60",47.9164
"64",45.564
"72",45.564042
"76",46.813878
"77",47.916426
"87",47.9167
"107",45.7754
"115",45.775357
"120",45.7833
"121",45.23073
"122",52.939916
"123",45.4413
"125",45.6521
"126",45.5369
"136",45.652059
"139",45.441347
"145",45.65
"146",45.4333
"156",45.0333
"157",45.5333
"161",38.2557
"162",38.2076
"164",46.5219
"169",45.6519
"171",45.651949
"182",47.5615
"184",27.6948
"190",45.6041
"192",45.604056
"195",51.5428
"196",64.8255
"197",35.6539
"198",50.7681
"199",52.8699
"201",52.6736
"202",51.5809
"203",42.3304
"204",52.202
"218",42.2565
"220",62.5667
"222",47.02769
"227",48.617
"231",62.4022
"237",62.402186
"242",48.617012
"249",48.6167
"257",63.1167
"260",54.00723
"261",45.2096
"262",45.5312
"263",47.6627
"264",51.95
"266",45.209583
"267",47.662662
"268",45.531199
"269",47.6667
"270",45.2
"272",47.0645
"273",46.1842
"275",48.8316
"278",45.5679
"280",45.567925
"286",48.8333
"289",48.831635
"290",41.9299
"291",46.5236
"292",49.0157
"295",48.3809
"296",42.6792
"298",46.5107
"299",44.2706
"300",46.3187
"302",46.318671
"310",48.0922
"311",45.0391
"315",45.4963
"316",48.092178
"318",45.03915
"322",45.5667
"324",45.4833
"326",48.6667
"330",45.496253
"335",39.3456
"337",49.8485
"338",50.4452
"351",44.3236
"356",48.3501
"361",49.4159
"362",46.7051
"366",45.4042
"371",45.648
"376",45.6092
"386",45.404236
"388",45.648019
"414",45.609184
"416",42.3736
"426",45.8833
"431",46.7876
"442",46.787562
"457",45.6397
"458",47.657
"460",46.2494
"461",45.5699
"469",45.639718
"474",46.249449
"475",47.656968
"476",45.569907
"480",45.1333
"482",47.5667
"488",45.6333
"490",46.2833
"501",45.5167
"502",30.3322
"503",34.0484
"504",42.3149
"510",45.5126
"514",45.512582
"525",51.0486
"534",25.7617
"551",48.6283
"552",45.9521
"553",45.6764
"554",52.9113
"561",48.439
"568",46.6695
"570",41.389
"573",45.5035
"590",48.6666
"592",45.4994
"595",45.952109
"596",45.499358
"598",48.43898
"600",48.666551
"601",46.669494
"602",45.676447
"606",45.503524
"609",48.628329
"615",52.911271
"628",45.6833
"629",45.95
"643",48.4333
"651",45.45
"659",46.7
"691",41.3805
"693",43.6532
"694",41.3908
"698",49.0939
"753",48.76654
"760",40.1491
"763",41.3083
"765",45.4792
"771",47.5661
"773",45.479233
"777",47.566059
"793",47.5634
"795",60.5833
"802",43.3601
"803",43.6539
"805",49.8951
"807",50.3916
"812",49.5771
"825",45.8863
"836",45.4857
"846",45.886336
"860",45.527156
"891",45.485719
"927",37.2296
"929",49.7538
"930",28.5383
"931",42.7886
"933",27.6648
"934",49.9755
"949",49.6697
"950",45.2733
"951",45.074
"952",46.5221
"1002",45.498
"1005",45.55268
"1006",45.3833
"1008",45.4167
"1009",46.8167
"1042",64.0601
"1043",34.3665
"1044",59.4509
"1045",49.9143
"1047",32.7765
"1048",36.2987
"1050",45.4215
"1052",41.4515
"1054",41.409
"1058",38.3498
"1070",27.394
"1071",27.5959
"1080",46.0859
"1097",45.959509
"1105",46.085906
"1106",45.583333
"1116",45.9667
"1119",45.3167
"1124",43.6465
"1126",42.9634
"1127",29.2129
"1137",50.26
"1139",40.7757
"1140",45.8945
"1141",45.8292
"1142",45.8581
"1158",45.858133
"1163",45.8
"1166",45.8333
"1167",45.9
"1171",45.485921
"1172",45.894502
"1173",45.829155
"1196",48.4284
"1201",40.7303
"1205",49.2827
"1210",45.4503
"1215",45.450321
"1217",45.6383
"1224",45.5036
"1228",45.506
"1229",45.25
"1236",46.7833
"1244",44.9429
"1245",49.7093
"1256",42.987
"1269",46.0279
"1279",46.02794
"1282",45.5374
"1292",28.6
"1293",40.4527
"1298",45.6066
"1302",50.2437
"1305",50.243671
"1307",45.606649
"1311",45.5833
