"","lon"
"1",-79.3928
"3",-67.6
"7",-63
"9",-61.85
"10",-73.567256
"11",-73.5833
"13",-73.5673
"43",-72.2051
"44",-72.8399
"55",-72.8
"57",-71.208
"60",-69.501
"64",-73.179
"72",-73.179013
"76",-71.207981
"77",-69.50104
"87",-69.5
"107",-74.0049
"115",-74.004948
"120",-74
"121",-73.76648
"122",-73.549136
"123",-73.6886
"125",-74.3398
"126",-73.5107
"136",-74.339802
"139",-73.688585
"145",-74.3333
"146",-73.6833
"156",-73.0833
"157",-73.5
"161",-81.4279
"162",-81.4593
"164",-84.3461
"169",-74.9409
"171",-74.940872
"177",-74.9333
"182",-52.7126
"184",-80.5438
"190",-74.1916
"192",-74.191577
"193",-73.583333
"195",-102.5319
"196",-124.8457
"197",-105.2917
"198",-103.783
"199",-106.53
"201",-106.111
"202",-101.9542
"203",-71.1662
"204",-105.1229
"212",-75.9
"218",-71.1241
"220",-70.6
"222",-71.13627
"227",-68.0254
"231",-77.9171
"237",-77.917118
"242",-68.025403
"249",-68.0167
"257",-77.9333
"260",-69.54754
"261",-72.7275
"262",-73.5978
"263",-70.1103
"264",-79.2833
"266",-72.727542
"267",-70.110268
"268",-73.597759
"269",-70.1167
"270",-72.7167
"272",-79.7909
"273",-82.3123
"275",-64.4869
"278",-73.2039
"280",-73.203947
"286",-64.5
"289",-64.486902
"290",-86.0122
"291",-81.3988
"292",-88.2683
"295",-89.2477
"296",-70.8412
"298",-63.4168
"299",-71.3033
"300",-74.2219
"302",-74.221877
"305",-73.6
"310",-71.5276
"311",-73.0746
"315",-73.6226
"316",-71.527557
"318",-73.074646
"322",-73.2
"324",-73.6167
"326",-67.9667
"330",-73.622563
"335",-91.3449
"337",-99.9501
"338",-104.6189
"351",-96.9264
"356",-89.3501
"361",-91.6587
"362",-81.5558
"366",-74.038
"371",-74.6456
"376",-73.7778
"386",-74.03796
"388",-74.645628
"404",-74.65
"414",-73.777752
"416",-71.1097
"426",-74.4667
"431",-71.2528
"442",-71.252798
"457",-73.8439
"458",-70.1522
"460",-74.7616
"461",-72.0068
"469",-73.84391
"474",-74.761552
"475",-70.152187
"476",-72.006782
"480",-72.25
"482",-69.8667
"485",-72
"488",-73.85
"490",-74.7333
"501",-75.7833
"502",-81.6557
"503",-107.1853
"504",-83.0364
"510",-73.6468
"514",-73.646831
"525",-114.0708
"534",-80.1918
"551",-68.1227
"552",-74.136
"553",-74.4045
"554",-73.4838
"561",-68.535
"568",-71.0525
"570",-70.5134
"573",-73.5871
"590",-68.0154
"592",-73.5758
"595",-74.136029
"596",-73.575776
"598",-68.53497
"600",-68.015352
"601",-71.052529
"602",-74.404499
"606",-73.587069
"609",-68.122682
"615",-73.483819
"628",-74.4167
"629",-74.1333
"643",-68.55
"651",-74.1167
"659",-71.0667
"690",-73.58
"691",-70.6455
"693",-79.3832
"694",-70.5109
"698",-99.3415
"753",-72.05337
"760",-75.4584
"763",-72.9279
"765",-74.3023
"771",-69.866
"773",-74.302298
"777",-69.865995
"783",-73.58333
"785",-74.3
"795",-77.5
"796",-64.4833
"802",-80.3062
"803",-79.4668
"805",-97.1384
"807",-105.5349
"812",-101.6992
"825",-74.3409
"836",-73.5957
"860",-75.875447
"891",-73.595699
"896",-75.8833
"927",-80.4139
"929",-99.871
"930",-81.3792
"931",-71.2009
"933",-81.5158
"934",-97.0062
"949",-99.7963
"950",-66.0633
"951",-64.7495
"952",-80.953
"984",-73.65
"1005",-73.64828
"1006",-72.2
"1008",-73.9333
"1009",-71.2167
"1042",-139.432
"1043",-89.5192
"1044",-136.3623
"1045",-116.9155
"1047",-79.9311
"1048",-93.5003
"1050",-75.6972
"1052",-75.6119
"1054",-75.6624
"1058",-81.6326
"1070",-81.4409
"1071",-81.5062
"1080",-74.0516
"1097",-70.656301
"1105",-74.051627
"1106",-73.75
"1116",-70.65
"1124",-79.463
"1126",-85.6681
"1127",-82.0361
"1137",-101.0355
"1139",-111.8848
"1140",-74.1242
"1141",-74.548
"1142",-73.5935
"1158",-73.593482
"1163",-73.4667
"1166",-74.55
"1171",-73.604948
"1172",-74.124203
"1173",-74.548025
"1196",-123.3656
"1201",-80.3101
"1205",-123.1207
"1215",-73.750049
"1217",-75.9308
"1224",-75.7832
"1228",-75.788
"1229",-72.6167
"1236",-71.25
"1244",-123.0351
"1245",-99.6032
"1256",-81.2432
"1269",-74.0637
"1279",-74.063697
"1282",-75.8945
"1285",-74.15
"1292",-81.3392
"1293",-112.3608
"1298",-73.7124
"1302",-63.6005
"1305",-63.600542
"1307",-73.712409
"1316",-76.3518
"1321",-99.4668
"1327",-79.5
"1329",-75.897673
"1333",-70.677971
"1338",-82.6618
"1339",-99.9018
"1341",-90.1994
"1350",-84.512
"1363",-73.2545
"1366",-73.2985
"1367",-72.5715
"1374",-73.25449
"1377",-72.571504
"1379",-73.29848
"1386",-73
"1390",-71.2333
"1394",-106.4509
"1396",-97.1879
"1400",-71.0198
"1401",-71.3614
"1404",-71.0589
"1428",-73.5004
"1453",-73.500401
"1454",-70.9833
"1477",-75.5047
"1478",-83.3362
"1483",-83.3657
"1495",-90.4466
"1506",-69.9897
"1515",-77.0369
"1522",-71.5126
"1531",-75.9746
"1554",-77.86
"1556",-108.5439
"1561",-74.1407
"1564",-71.9739
"1577",-71.97394
"1582",-71.9667
"1587",-74.140665
"1594",-105.8701
"1595",-71.421
"1596",-115.5708
"1598",-120.5062
"1599",-111.6585
"1603",-108.5448
"1606",-139.1
"1607",-63.217
"1621",-75.1652
"1625",-89.7052
"1636",-68.8669
"1637",-74.1052
"1641",-73.5042
"1642",-74.2816
"1662",-73.6475
"1669",-74.0821
"1674",-74.281603
"1675",-73.647513
"1678",-74.105223
"1688",-68.866898
"1692",-73.504175
"1701",-74.082091
"1703",-73.1667
"1709",-74.0833
"1714",-71.4167
"1742",-112.1202
"1745",-81.2453
"1762",-97.29
"1765",-83.4193
"1768",-97.2205
"1778",-116.9094
"1781",-58.4813
"1800",-73.2577
"1808",-75.7134
"1829",-72.3638
"1830",-72.546
"1838",-75.713366
