"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","itis_code"
"1","Pieris rapae","Pieris rapae","species","Piéride de la rave","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae",188541
"2","Polites peckius","Polites peckius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites coras",706650
"3","Poanes zabulon","Poanes zabulon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Poanes zabulon",706643
"4","Colias pelidne","Colias pelidne","species","Coliade commun du Nord","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias pelidne",188531
"5","Wallengrenia egeremet","Wallengrenia egeremet","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Wallengrenia","Wallengrenia egeremet",706664
"6","Boloria eunomia","Boloria eunomia","species","Boloria des tourbières","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria eunomia",188570
"7","Phyciodes","Phyciodes","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","",188583
"8","Papilio brevicauda","Papilio brevicauda","species","Papillon queue-courte","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio brevicauda",188546
"9","Lycaena phlaeas","Lycaena phlaeas","species","Bronzé","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena phlaeas",777788
"10","Polygonia interrogationis","Polygonia interrogationis","species","Polygone à queue violacée","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia interrogationis",778041
"11","Aglais milberti","Aglais milberti","species","Petite vanesse","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais milberti",778038
"12","Glaucopsyche lygdamus","Glaucopsyche lygdamus","species","Bleu argenté","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Glaucopsyche","Glaucopsyche lygdamus",188519
