"","lat"
"1",43.1514
"2",49.3167
"3",49.5
"4",49.266667
"5",45.501689
"6",45.5
"7",45.5017
"8",44.9364
"9",45.0392
"10",45.039226
"11",45.05
"12",46.8139
"13",47.9164
"14",45.564
"15",45.564042
"16",46.813878
"17",47.916426
"18",47.9167
"19",45.7754
"20",45.775357
"21",45.7833
"22",45.23073
"23",52.939916
"24",45.4413
"25",45.6521
"26",45.5369
"27",45.652059
"28",45.441347
"29",45.65
"30",45.4333
"31",45.0333
"32",45.5333
"33",38.2557
"34",38.2076
"35",46.5219
"36",45.6519
"37",45.651949
"38",47.5615
"39",27.6948
"40",45.6041
"41",45.604056
"42",51.5428
"43",64.8255
"44",35.6539
"45",50.7681
"46",52.8699
"47",52.6736
"48",51.5809
"49",42.3304
"50",52.202
"51",42.2565
"52",62.5667
"53",47.02769
"54",48.617
"55",62.4022
"56",62.402186
"57",48.617012
"58",48.6167
"59",63.1167
"60",54.00723
"61",45.2096
"62",45.5312
"63",47.6627
"64",51.95
"65",45.209583
"66",47.662662
"67",45.531199
"68",47.6667
"69",45.2
"70",47.0645
"71",46.1842
"72",48.8316
"73",45.5679
"74",45.567925
"75",48.8333
"76",48.831635
"77",41.9299
"78",46.5236
"79",49.0157
"80",48.3809
"81",42.6792
"82",46.5107
"83",44.2706
"84",46.3187
"85",46.318671
"86",48.0922
"87",45.0391
"88",45.4963
"89",48.092178
"90",45.03915
"91",45.5667
"92",45.4833
"93",48.6667
"94",45.496253
"95",39.3456
"96",49.8485
"97",50.4452
"98",44.3236
"99",48.3501
"100",49.4159
"101",46.7051
"102",45.4042
"103",45.648
"104",45.6092
"105",45.404236
"106",45.648019
"107",45.609184
"108",42.3736
"109",45.8833
"110",46.7876
"111",46.787562
"112",45.6397
"113",47.657
"114",46.2494
"115",45.5699
"116",45.639718
"117",46.249449
"118",47.656968
"119",45.569907
"120",45.1333
"121",47.5667
"122",45.6333
"123",46.2833
"124",45.5167
"125",30.3322
"126",34.0484
"127",42.3149
"128",45.5126
"129",45.512582
"130",51.0486
"131",25.7617
"132",48.6283
"133",45.9521
"134",45.6764
"135",52.9113
"136",48.439
"137",46.6695
"138",41.389
"139",45.5035
"140",48.6666
"141",45.4994
"142",45.952109
"143",45.499358
"144",48.43898
"145",48.666551
"146",46.669494
"147",45.676447
"148",45.503524
"149",48.628329
"150",52.911271
"151",45.6833
"152",45.95
"153",48.4333
"154",45.45
"155",46.7
"156",41.3805
"157",43.6532
"158",41.3908
"159",49.0939
"160",48.76654
"161",40.1491
"162",41.3083
"163",45.4792
"164",47.5661
"165",45.479233
"166",47.566059
"167",47.5634
"168",60.5833
"169",43.3601
"170",43.6539
"171",49.8951
"172",50.3916
"173",49.5771
"174",45.8863
"175",45.4857
"176",45.886336
"177",45.527156
"178",45.485719
"179",37.2296
"180",49.7538
"181",28.5383
"182",42.7886
"183",27.6648
"184",49.9755
"185",49.6697
"186",45.2733
"187",45.074
"188",46.5221
"189",45.498
"190",45.55268
"191",45.3833
"192",45.4167
"193",46.8167
"194",64.0601
"195",34.3665
"196",59.4509
"197",49.9143
"198",32.7765
"199",36.2987
"200",45.4215
"201",41.4515
"202",41.409
"203",38.3498
"204",27.394
"205",27.5959
"206",46.0859
"207",45.959509
"208",46.085906
"209",45.583333
"210",45.9667
"211",45.3167
"212",43.6465
"213",42.9634
"214",29.2129
"215",50.26
"216",40.7757
"217",45.8945
"218",45.8292
"219",45.8581
"220",45.858133
"221",45.8
"222",45.8333
"223",45.9
"224",45.485921
"225",45.894502
"226",45.829155
"227",48.4284
"228",40.7303
"229",49.2827
"230",45.4503
"231",45.450321
"232",45.6383
"233",45.5036
"234",45.506
"235",45.25
"236",46.7833
"237",44.9429
"238",49.7093
"239",42.987
"240",46.0279
"241",46.02794
"242",45.5374
"243",28.6
"244",40.4527
"245",45.6066
"246",50.2437
"247",50.243671
"248",45.606649
"249",45.5833
"250",45.4347
"251",50.2277
"252",47.333333
"253",45.538502
"254",48.36743
"255",40.8814
"256",43.9695
"257",38.627
"258",39.1031
"259",45.3058
"260",45.9931
"261",45.1941
"262",45.305771
"263",45.194051
"264",45.993107
"265",52.9399
"266",55.4018
"267",42.4959
"268",42.3626
"269",42.3601
"270",45.6417
"271",45.641666
"272",46.9167
"273",45.4558
"274",42.5922
"275",42.4408
"276",38.5661
"277",41.7898
"278",38.9072
"279",41.8205
"280",40.9584
"281",40.7934
"282",35.4719
"283",45.4585
"284",45.2745
"285",45.274509
"286",45.2833
"287",45.458544
"288",34.5199
"289",41.7947
"290",51.1784
"291",49.459
"292",40.2338
"293",35.5145
"294",64.0167
"295",46.2295
"296",39.9526
"297",48.3045
"298",48.2941
"299",45.4426
"300",45.492
"301",46.0486
"302",45.4525
"303",45.8755
"304",46.048563
"305",45.452484
"306",45.442607
"307",48.294074
"308",45.492034
"309",45.875457
"310",45.55
"311",45.8667
"312",46.3833
"313",39.9541
"314",42.9849
"315",49.8848
"316",42.7351
"317",49.8634
"318",48.1807
"319",48.4282
"320",45.3653
"321",45.4287
"322",45.1957
"323",45.2418
"324",45.428731
"325",45.365293
"326",46.967
"327",45.365
"328",45.3084
"329",45.241774
"330",45.195708
"331",41.8137
"332",40.4406
"333",45.569
"334",45.8836
"335",45.569049
"336",45.4
"337",45.883611
"338",41.824
"339",29.2108
"340",41.5236
"341",41.9722
"342",44.9916
"343",41.5191
"344",46.8
"345",48.7217
"346",50.1427
"347",53.2033
"348",48.345
"349",48.15
"350",38.0707
"351",38.1496
"352",45.3736
"353",41.7545
"354",35.7686
"355",45.5087
"356",45.8654
"357",45.50867
"358",48.477
"359",51.3167
"360",48.5
"361",51.5
"362",27.7676
"363",45.0769
"364",45.5553
"365",45.4387
"366",45.555293
"367",45.438659
"368",48.2928
"369",30.4213
"370",43.4001
"371",68.8115
"372",45.3658
"373",48.4572
"374",45.0077
"375",27.4989
"376",46.0446
"377",46.747041
"378",46.044603
"379",45.842
"380",45.56667
"381",45.85
"382",48.7787
"383",42.5013
"384",50.6863
"385",49.3244
"386",47.6304
"387",27.5875
"388",46.2699
"389",49.324423
"390",47.630422
"391",46.269881
"392",49.31667
"393",49.3243
"394",47.4833
"395",49.3227
"396",49.6073
"397",35.1322
"398",37.305
"399",50.8188
"400",45.5143
"401",48.146
"402",46.3714
"403",45.5071
"404",45.3945
"405",45.507102
"406",48.145978
"407",46.371437
"408",45.394509
"409",45.490642
"410",45.514286
"411",47.4741
"412",49.4991
"413",45.082
"414",45.5296
"415",45.2944
"416",45.081979
"417",45.294355
"418",45.529638
"419",48.594
"420",49.3572
"421",45.9238
"422",45.9013
"423",45.3018
"424",45.1859
"425",45.923754
"426",45.301781
"427",45.185861
"428",45.1833
"429",45.8657
"430",45.1437
"431",26.9342
"432",30.3924
"433",39.6548
"434",43.3821
"435",53.5444
"436",48.6741
"437",48.666667
"438",46.1214
"439",51.5788
"440",46.014
"441",46.014012
"442",45.51667
"443",46.05
"444",45.535
"445",55.458
"446",41.4173
"447",48.5289
"448",46.0447
"449",45.5166
"450",46.044738
"451",48.528875
"452",54.7833
"453",45.0167
"454",45.9595
"455",45.9422
"456",47.0162
"457",45.942248
"458",45.08333
"459",47.328622
"460",66.5
"461",45.9489
"462",45.948855
"463",45.86667
"464",33.6577
"465",38.4825
"466",43.9939
