"","lon"
"1",-79.3928
"2",-67.6
"3",-63
"4",-61.85
"5",-73.567256
"6",-73.5833
"7",-73.5673
"8",-72.2051
"9",-72.8399
"10",-72.8
"11",-71.208
"12",-69.501
"13",-73.179
"14",-73.179013
"15",-71.207981
"16",-69.50104
"17",-69.5
"18",-74.0049
"19",-74.004948
"20",-74
"21",-73.76648
"22",-73.549136
"23",-73.6886
"24",-74.3398
"25",-73.5107
"26",-74.339802
"27",-73.688585
"28",-74.3333
"29",-73.6833
"30",-73.0833
"31",-73.5
"32",-81.4279
"33",-81.4593
"34",-84.3461
"35",-74.9409
"36",-74.940872
"37",-74.9333
"38",-52.7126
"39",-80.5438
"40",-74.1916
"41",-74.191577
"42",-73.583333
"43",-102.5319
"44",-124.8457
"45",-105.2917
"46",-103.783
"47",-106.53
"48",-106.111
"49",-101.9542
"50",-71.1662
"51",-105.1229
"52",-75.9
"53",-71.1241
"54",-70.6
"55",-71.13627
"56",-68.0254
"57",-77.9171
"58",-77.917118
"59",-68.025403
"60",-68.0167
"61",-77.9333
"62",-69.54754
"63",-72.7275
"64",-73.5978
"65",-70.1103
"66",-79.2833
"67",-72.727542
"68",-70.110268
"69",-73.597759
"70",-70.1167
"71",-72.7167
"72",-79.7909
"73",-82.3123
"74",-64.4869
"75",-73.2039
"76",-73.203947
"77",-64.5
"78",-64.486902
"79",-86.0122
"80",-81.3988
"81",-88.2683
"82",-89.2477
"83",-70.8412
"84",-63.4168
"85",-71.3033
"86",-74.2219
"87",-74.221877
"88",-73.6
"89",-71.5276
"90",-73.0746
"91",-73.6226
"92",-71.527557
"93",-73.074646
"94",-73.2
"95",-73.6167
"96",-67.9667
"97",-73.622563
"98",-91.3449
"99",-99.9501
"100",-104.6189
"101",-96.9264
"102",-89.3501
"103",-91.6587
"104",-81.5558
"105",-74.038
"106",-74.6456
"107",-73.7778
"108",-74.03796
"109",-74.645628
"110",-74.65
"111",-73.777752
"112",-71.1097
"113",-74.4667
"114",-71.2528
"115",-71.252798
"116",-73.8439
"117",-70.1522
"118",-74.7616
"119",-72.0068
"120",-73.84391
"121",-74.761552
"122",-70.152187
"123",-72.006782
"124",-72.25
"125",-69.8667
"126",-72
"127",-73.85
"128",-74.7333
"129",-75.7833
"130",-81.6557
"131",-107.1853
"132",-83.0364
"133",-73.6468
"134",-73.646831
"135",-114.0708
"136",-80.1918
"137",-68.1227
"138",-74.136
"139",-74.4045
"140",-73.4838
"141",-68.535
"142",-71.0525
"143",-70.5134
"144",-73.5871
"145",-68.0154
"146",-73.5758
"147",-74.136029
"148",-73.575776
"149",-68.53497
"150",-68.015352
"151",-71.052529
"152",-74.404499
"153",-73.587069
"154",-68.122682
"155",-73.483819
"156",-74.4167
"157",-74.1333
"158",-68.55
"159",-74.1167
"160",-71.0667
"161",-73.58
"162",-70.6455
"163",-79.3832
"164",-70.5109
"165",-99.3415
"166",-72.05337
"167",-75.4584
"168",-72.9279
"169",-74.3023
"170",-69.866
"171",-74.302298
"172",-69.865995
"173",-73.58333
"174",-74.3
"175",-77.5
"176",-64.4833
"177",-80.3062
"178",-79.4668
"179",-97.1384
"180",-105.5349
"181",-101.6992
"182",-74.3409
"183",-73.5957
"184",-75.875447
"185",-73.595699
"186",-75.8833
"187",-80.4139
"188",-99.871
"189",-81.3792
"190",-71.2009
"191",-81.5158
"192",-97.0062
"193",-99.7963
"194",-66.0633
"195",-64.7495
"196",-80.953
"197",-73.65
"198",-73.64828
"199",-72.2
"200",-73.9333
"201",-71.2167
"202",-139.432
"203",-89.5192
"204",-136.3623
"205",-116.9155
"206",-79.9311
"207",-93.5003
"208",-75.6972
"209",-75.6119
"210",-75.6624
"211",-81.6326
"212",-81.4409
"213",-81.5062
"214",-74.0516
"215",-70.656301
"216",-74.051627
"217",-73.75
"218",-70.65
"219",-79.463
"220",-85.6681
"221",-82.0361
"222",-101.0355
"223",-111.8848
"224",-74.1242
"225",-74.548
"226",-73.5935
"227",-73.593482
"228",-73.4667
"229",-74.55
"230",-73.604948
"231",-74.124203
"232",-74.548025
"233",-123.3656
"234",-80.3101
"235",-123.1207
"236",-73.750049
"237",-75.9308
"238",-75.7832
"239",-75.788
"240",-72.6167
"241",-71.25
"242",-123.0351
"243",-99.6032
"244",-81.2432
"245",-74.0637
"246",-74.063697
"247",-75.8945
"248",-74.15
"249",-81.3392
"250",-112.3608
"251",-73.7124
"252",-63.6005
"253",-63.600542
"254",-73.712409
"255",-76.3518
"256",-99.4668
"257",-79.5
"258",-75.897673
"259",-70.677971
"260",-82.6618
"261",-99.9018
"262",-90.1994
"263",-84.512
"264",-73.2545
"265",-73.2985
"266",-72.5715
"267",-73.25449
"268",-72.571504
"269",-73.29848
"270",-73
"271",-71.2333
"272",-106.4509
"273",-97.1879
"274",-71.0198
"275",-71.3614
"276",-71.0589
"277",-73.5004
"278",-73.500401
"279",-70.9833
"280",-75.5047
"281",-83.3362
"282",-83.3657
"283",-90.4466
"284",-69.9897
"285",-77.0369
"286",-71.5126
"287",-75.9746
"288",-77.86
"289",-108.5439
"290",-74.1407
"291",-71.9739
"292",-71.97394
"293",-71.9667
"294",-74.140665
"295",-105.8701
"296",-71.421
"297",-115.5708
"298",-120.5062
"299",-111.6585
"300",-108.5448
"301",-139.1
"302",-63.217
"303",-75.1652
"304",-89.7052
"305",-68.8669
"306",-74.1052
"307",-73.5042
"308",-74.2816
"309",-73.6475
"310",-74.0821
"311",-74.281603
"312",-73.647513
"313",-74.105223
"314",-68.866898
"315",-73.504175
"316",-74.082091
"317",-73.1667
"318",-74.0833
"319",-71.4167
"320",-112.1202
"321",-81.2453
"322",-97.29
"323",-83.4193
"324",-97.2205
"325",-116.9094
"326",-58.4813
"327",-73.2577
"328",-75.7134
"329",-72.3638
"330",-72.546
"331",-75.713366
"332",-73.257694
"333",-75.7333
"334",-78.216
"335",-71.858
"336",-72.35
"337",-73.2529
"338",-72.545964
"339",-72.363775
"340",-71.3701
"341",-79.9959
"342",-71.7928
"343",-74.3549
"344",-71.792751
"345",-75.8333
"346",-74.35
"347",-71.8
"348",-74.354912
"349",-71.4128
"350",-81.0228
"351",-90.5776
"352",-71.4062
"353",-79.942
"354",-72.8286
"355",-71.1833
"356",-72.55
"357",-94.5695
"358",-101.0346
"359",-105.7531
"360",-89.3583
"361",-69.7167
"362",-78.8751
"363",-79.0717
"364",-121.696
"365",-90.3369
"366",-106.6923
"367",-73.554
"368",-73.2413
"369",-73.553992
"370",-64.301
"371",-73.5667
"372",-58.05
"373",-64.1667
"374",-57.5833
"375",-82.6403
"376",-64.4945
"377",-73.1899
"378",-73.7425
"379",-73.189867
"380",-73.742528
"381",-68.8675
"382",-73.8
"383",-87.2169
"384",-80.6499
"385",-114.8237
"386",-63.2869
"387",-123.5509
"388",-71.009
"389",-82.5748
"390",-74.0348
"391",-71.459344
"392",-74.034756
"393",-76.738
"394",-75.95
"395",-76.7333
"396",-123.7079
"397",-103.7289
"398",-121.9368
"399",-67.5999
"400",-70.6482
"401",-82.4251
"402",-74.9332
"403",-67.599931
"404",-70.648207
"405",-74.933151
"406",-67.4489
"407",-70.4833
"408",-67.4413
"409",-114.4355
"410",-118.449
"411",-93.4285
"412",-119.6845
"413",-73.609
"414",-69.7128
"415",-71.6118
"416",-73.5874
"417",-75.844
"418",-73.587407
"419",-69.71284
"420",-71.611758
"421",-75.84396
"422",-75.841197
"423",-73.609011
"424",-115.9279
"425",-119.5937
"426",-73.3729
"427",-73.7138
"428",-72.2702
"429",-73.372864
"430",-72.270228
"431",-73.713766
"432",-75.8667
"433",-85.2748
"434",-120.0765
"435",-74.4673
"436",-74.4661
"437",-72.2789
"438",-71.9367
"439",-74.466114
"440",-74.467349
"441",-72.278871
"442",-71.936715
"443",-71.9333
"444",-74.0721
"445",-74.5027
"446",-80.0942
"447",-81.43
"448",-77.5728
"449",-95.1588
"450",-75.887
"451",-113.4909
"452",-71.5167
"453",-71.5244
"454",-71.516667
"455",-74.59442
"456",-119.7179
"457",-73.4178
"458",-73.417796
"459",-75.86667
"460",-73.7167
"461",-75.8892
"462",-60.2115
"463",-70.4531
"464",-68.3466
"465",-73.7106
"466",-73.710612
"467",-68.346627
"468",-73.2833
"469",-66.7833
"470",-73.9167
"471",-70.6563
"472",-73.9698
"473",-70.9465
