"","lat","lon"
"1",43.1514,-79.3928
"3",49.3167,-67.6
"7",49.5,-63
"9",49.266667,-61.85
"10",45.501689,-73.567256
"11",45.5,-73.5833
"13",45.5017,-73.5673
"46",44.9364,-72.2051
"47",45.0392,-72.8399
"52",45.039226,-72.8399
"61",45.05,-72.8
"62",46.8139,-71.208
"65",47.9164,-69.501
"71",45.564,-73.179
"80",45.564042,-73.179013
"85",46.813878,-71.207981
"86",47.916426,-69.50104
"97",47.9167,-69.5
"123",45.7754,-74.0049
"134",45.775357,-74.004948
"142",45.7833,-74
"144",45.23073,-73.76648
"145",52.939916,-73.549136
"146",45.4413,-73.6886
"148",45.6521,-74.3398
"149",45.5369,-73.5107
"163",45.652059,-74.339802
"168",45.441347,-73.688585
"176",45.65,-74.3333
"177",45.4333,-73.6833
"189",45.0333,-73.0833
"190",45.5333,-73.5
"194",38.2557,-81.4279
"195",38.2076,-81.4593
"197",46.5219,-84.3461
"203",45.6519,-74.9409
"206",45.651949,-74.940872
"213",45.65,-74.9333
"219",47.5615,-52.7126
"221",27.6948,-80.5438
"229",45.6041,-74.1916
"231",45.604056,-74.191577
"232",45.5,-73.583333
"234",51.5428,-102.5319
"235",64.8255,-124.8457
"236",35.6539,-105.2917
"237",50.7681,-103.783
"238",52.8699,-106.53
"240",52.6736,-106.111
"241",51.5809,-101.9542
"242",42.3304,-71.1662
"243",52.202,-105.1229
"251",45.4333,-75.9
"257",42.2565,-71.1241
"260",62.5667,-70.6
"262",47.02769,-71.13627
"267",48.617,-68.0254
"271",62.4022,-77.9171
"277",62.402186,-77.917118
"282",48.617012,-68.025403
"290",48.6167,-68.0167
"298",63.1167,-77.9333
"301",54.00723,-69.54754
"302",45.2096,-72.7275
"303",45.5312,-73.5978
"304",47.6627,-70.1103
"305",51.95,-79.2833
"307",45.209583,-72.727542
"308",47.662662,-70.110268
"309",45.531199,-73.597759
"310",47.6667,-70.1167
"311",45.2,-72.7167
"313",47.0645,-79.7909
"314",46.1842,-82.3123
"316",48.8316,-64.4869
"319",45.5679,-73.2039
"321",45.567925,-73.203947
"327",48.8333,-64.5
"330",48.831635,-64.486902
"331",41.9299,-86.0122
"332",46.5236,-81.3988
"333",49.0157,-88.2683
"338",48.3809,-89.2477
"339",42.6792,-70.8412
"341",46.5107,-63.4168
"342",44.2706,-71.3033
"343",46.3187,-74.2219
"346",46.318671,-74.221877
"349",45.5,-73.6
"356",48.0922,-71.5276
"357",45.0391,-73.0746
"363",45.4963,-73.6226
"364",48.092178,-71.527557
"367",45.03915,-73.074646
"372",45.5667,-73.2
"374",45.4833,-73.6167
"377",48.6667,-67.9667
"382",45.496253,-73.622563
"388",39.3456,-91.3449
"390",49.8485,-99.9501
"391",50.4452,-104.6189
"404",44.3236,-96.9264
"411",48.3501,-89.3501
"416",49.4159,-91.6587
"417",46.7051,-81.5558
"422",45.4042,-74.038
"427",45.648,-74.6456
"434",45.6092,-73.7778
"447",45.404236,-74.03796
"449",45.648019,-74.645628
"468",45.65,-74.65
"480",45.609184,-73.777752
"483",42.3736,-71.1097
"495",45.8833,-74.4667
"500",46.7876,-71.2528
"515",46.787562,-71.252798
"533",45.6397,-73.8439
"534",47.657,-70.1522
"536",46.2494,-74.7616
"538",45.5699,-72.0068
"546",45.639718,-73.84391
"551",46.249449,-74.761552
"552",47.656968,-70.152187
"553",45.569907,-72.006782
"558",45.1333,-72.25
"560",47.5667,-69.8667
"563",45.5667,-72
"566",45.6333,-73.85
"568",46.2833,-74.7333
"578",45.5167,-75.7833
"579",30.3322,-81.6557
"580",34.0484,-107.1853
"581",42.3149,-83.0364
"589",45.5126,-73.6468
"593",45.512582,-73.646831
"605",51.0486,-114.0708
"615",25.7617,-80.1918
"635",48.6283,-68.1227
"636",45.9521,-74.136
"637",45.6764,-74.4045
"638",52.9113,-73.4838
"648",48.439,-68.535
"657",46.6695,-71.0525
"660",41.389,-70.5134
"664",45.5035,-73.5871
"682",48.6666,-68.0154
"684",45.4994,-73.5758
"687",45.952109,-74.136029
"689",45.499358,-73.575776
"691",48.43898,-68.53497
"694",48.666551,-68.015352
"695",46.669494,-71.052529
"696",45.676447,-74.404499
"701",45.503524,-73.587069
